Produto,Preço,Fornecedor,Data
Apple iPhone 16 Pro 256GB Titânio Natural,10999.0,Magazine Luiza,2025-05-18
"iPhone 16 Apple 512GB, Câmera Dupla de 48MP, Tela 6.1"", Rosa",9128.9,Magazine Luiza,2025-05-18
"iPhone 16 Pro Apple 512GB, Câmera Tripla de 48MP, Tela 6,3"", Titânio Natural",10338.89,Magazine Luiza,2025-05-18
"iPhone 16 Apple 128GB, Câmera Dupla de 48MP, Tela 6.1"", Verde-acinzentado",6818.9,Magazine Luiza,2025-05-18
"iPhone 16 Apple 512GB, Câmera Dupla de 48MP, Tela 6.1"", Ultramarino",9128.9,Magazine Luiza,2025-05-18
Apple iPhone 16 Plus 512GB Branco,12818.43,Magazine Luiza,2025-05-18
Apple iPhone 16 Plus 128GB Rosa,9505.03,Magazine Luiza,2025-05-18
Apple iPhone 16 Pro 128GB Titânio Deserto,11758.88,Magazine Luiza,2025-05-18
Apple iPhone 16 Plus 256GB Branco,11534.88,Magazine Luiza,2025-05-18
"iPhone 16 Plus Apple 512GB, Câmera Dupla de 48MP, Tela 6,7"", Branco",9568.91,Magazine Luiza,2025-05-18
Apple iPhone 16 Pro 512GB Titânio Natural,12599.0,Magazine Luiza,2025-05-18
Apple iPhone 16 Plus 512GB Verde-Acinzentado,13214.88,Magazine Luiza,2025-05-18
Apple iPhone 16 Plus 128GB Ultramarino,9020.03,Magazine Luiza,2025-05-18
"iPhone 16 Apple 512GB, Câmera Dupla de 48MP, Tela 6.1"", Preto",9128.9,Magazine Luiza,2025-05-18
"Apple iPhone 16 128GB Preto 6,1"" 48MP iOS 5G",5309.1,Magazine Luiza,2025-05-19
"Apple iPhone 16e 128GB Preto 6,1"" 48MP iOS 5G",4166.04,Magazine Luiza,2025-05-19
"Apple iPhone 16e 128GB Branco 6,1"" 48MP iOS 5G",4166.04,Magazine Luiza,2025-05-19
